gene_id,C_t1_1,LPS_t1_1,C_t1_2,LPS_t1_2,C_t1_3,LPS_t1_3,C_t1_4,LPS_t1_4,control,lps,FDR,AveExpr,P value,C_t1_1 CPM,C_t1_2 CPM,C_t1_3 CPM,C_t1_4 CPM,LPS_t1_1 CPM,LPS_t1_2 CPM,LPS_t1_3 CPM,LPS_t1_4 CPM
ENSMUSG00000020572,5463,23104,5131,25306,5680,27150,7659,24367,0,2.79110255330191,4.478629535181e-10,7.90972479126737,2.22715734903385e-12,112.297,113.006,98.281,120.397,497.414,506.796,562.113,525.296
ENSMUSG00000050565,7349,28751,6644,32157,7778,31705,8754,29981,0,2.7263905643118,4.64808318181106e-10,8.23857836599478,2.34598896277452e-12,151.066,146.328,134.582,137.610,618.991,643.999,656.420,646.320
ENSMUSG00000058163,219,3847,174,5807,173,4989,378,4358,0,5.08821041952801,4.64808318181106e-10,4.34419037131048,2.3538356365757e-12,4.502,3.832,2.993,5.942,82.823,116.295,103.292,93.948
ENSMUSG00000042726,3819,18368,3508,24604,3838,22223,4425,21986,0,3.19630153736231,4.72791713033931e-10,7.50589831817494,2.41583429261373e-12,78.503,77.261,66.409,69.559,395.451,492.737,460.105,473.967
ENSMUSG00000050737,177,2127,114,2226,159,2466,165,2282,0,4.62425037826845,4.77857347723515e-10,3.54210645645225,2.46351933449323e-12,3.638,2.511,2.751,2.594,45.793,44.579,51.056,49.195
ENSMUSG00000037447,610,6985,445,10297,383,8797,537,9663,0,4.91425900773264,5.07970827565739e-10,5.36067669734294,2.64193961140993e-12,12.539,9.801,6.627,8.441,150.383,206.215,182.133,208.312
ENSMUSG00000012519,836,4359,623,4857,719,4664,941,5050,0,3.332848063918,5.10120165343152e-10,5.24068958977186,2.6763912137626e-12,17.185,13.721,12.441,14.792,93.846,97.270,96.563,108.866
ENSMUSG00000063193,12037,317,13305,572,18744,415,24059,336,0,-4.64358337240915,5.38609191536629e-10,5.66326408382157,2.85043415385049e-12,247.432,293.031,324.326,378.199,6.825,11.455,8.592,7.243
ENSMUSG00000046062,5066,18738,4597,20982,5698,20445,7604,17455,0,2.49304732996936,5.74658698007161e-10,7.69270462189305,3.06743317062083e-12,104.137,101.245,98.592,119.532,403.417,420.201,423.293,376.289
ENSMUSG00000039699,110,4524,95,7242,110,6018,171,7488,0,6.40977150647826,6.24721975854676e-10,4.08806016644672,3.36316406546155e-12,2.261,2.092,1.903,2.688,97.399,145.034,124.597,161.424
